2015-09-12,75.0
2015-09-13,86.0
2015-09-14,86.0
2015-09-15,109.0
2015-09-16,127.0
2015-09-17,127.0
2015-09-18,105.0
2015-09-19,101.0
2015-09-20,97.0
2015-09-21,95.0
2015-09-22,90.0
2015-09-23,90.0
2015-09-24,90.0
2015-09-25,90.0
2015-09-26,86.0
2015-09-27,86.0
2015-09-28,88.0
2015-09-29,90.0
2015-09-30,88.0
2015-10-01,101.0
2015-10-02,121.0
2015-10-03,105.0
2015-10-04,111.0
2015-10-05,109.0
2015-10-06,90.0
2015-10-07,86.0
2015-10-08,90.0
2015-10-09,86.0
2015-10-10,103.0
2015-10-11,109.0
2015-10-12,83.0
2015-10-13,88.0
2015-10-14,90.0
2015-10-15,93.0
2015-10-16,97.0
2015-10-17,97.0
2015-10-18,97.0
2015-10-19,93.0
2015-10-20,97.0
2015-10-21,107.0
2015-10-22,88.0
2015-10-23,86.0
2015-10-24,86.0
2015-10-25,85.0
2015-10-26,103.0
2015-10-27,113.0
2015-10-28,105.0
2015-10-29,101.0
2015-10-30,101.0
2015-10-31,101.0
2015-11-01,101.0
2015-11-02,105.0
2015-11-03,109.0
2015-11-04,101.0
2015-11-05,97.0
2015-11-06,103.0
2015-11-07,111.0
2015-11-08,101.0
2015-11-09,105.0
2015-11-10,101.0
2015-11-11,97.0
2015-11-12,97.0
2015-11-13,93.0
2015-11-14,101.0
2015-11-15,93.0
2015-11-16,92.0
2015-11-17,97.0
2015-11-18,93.0
2015-11-19,92.0
2015-11-20,107.0
2015-11-21,111.0
2015-11-22,115.0
2015-11-23,125.0
2015-11-24,93.0
2015-11-25,90.0
2015-11-26,92.0
2015-11-27,99.0
2015-11-28,93.0
2015-11-29,115.0
2015-11-30,93.0
2015-12-01,150.0
2015-12-02,111.0
2015-12-03,97.0
2015-12-04,92.0
2015-12-05,88.0
2015-12-06,99.0
2015-12-07,97.0
2015-12-08,95.0
2015-12-09,93.0
2015-12-10,95.0
2015-12-11,92.0
2015-12-12,92.0
2015-12-13,95.0
2015-12-14,97.0
2015-12-15,95.0
2015-12-16,90.0
2015-12-17,92.0
2015-12-18,92.0
2015-12-19,97.0
2015-12-20,93.0
2015-12-21,101.0
2015-12-22,105.0
2015-12-23,103.0
2015-12-24,95.0
2015-12-25,99.0
2015-12-26,92.0
2015-12-27,85.0
2015-12-28,115.0
2015-12-29,103.0
2015-12-30,109.0
2015-12-31,81.0
